bg,eq_BG,CGM_glucose,IOB,rate,running_temp,unsafe_action_reason
65,70,65,-0.1,0,0,Null
65,72,65,-0.149,0,0,Null
65,74,65,-0.198,0,0,Null
65,75,65,-0.246,0,0,Null
65,79,65,-0.343,0,0,Null
65,81,65.00341462223187,-0.388,0,0,Null
65.02,83,65.01583177615883,-0.433,0,0,Null
65.04,84,65.04406081372309,-0.475,0,0,Null
65.1,85,65.09542098249614,-0.516,0,0,Null
65.18,89,65.17722777487262,-0.605,0,0,Null
65.3,91,65.29643965196449,-0.643,0,0,Null
65.46,92,65.45943189583902,-0.679,0,0,Null
65.67,94,65.67186853441864,-0.713,0,0,Null
65.94,95,65.93864749291558,-0.745,0,0,Null
66.26,99,66.26389826663959,-0.825,0,0,Null
66.65,98,66.65101533733211,-0.804,0,0,Null
67.1,97,67.10271413614683,-0.781,0,0,Null
67.62,97,67.62109950041075,-0.756,0,0,Null
68.21,97,68.20773923590876,-0.73,0,0,Null
68.86,97,68.8637375811483,-0.704,0,0,Null
69.59,96,69.58980510527503,-0.677,0,0,Null
70.39,96,70.38632290667086,-0.649,0,0,Null
71.25,101,71.25339997366082,-0.721,0,0,Null
72.19,103,72.19092328277127,-0.743,0,0,Null
73.2,105,73.19860070083712,-0.764,0,0,Null
74.28,107,74.27599707586909,-0.784,0,0,Null
75.42,110,75.42256409124941,-0.803,0.7,0,Null
76.64,109,76.63766455399121,-0.772,0.6,0.7,Null
77.92,111,77.92059181859833,-0.79,0.6,0.6,Null
79.27,111,79.27058503516845,-0.758,0.6,0.6,Null
80.69,113,80.68576743540594,-0.726,0.7,0.6,Null
82.16,113,82.16358893825587,-0.693,0.7,0.7,Null
83.7,113,83.7010087901979,-0.66,0.7,0.7,Null
85.29,115,85.29463680328529,-0.628,0.7,0.7,Null
86.94,115,86.94067750013785,-0.596,0.7,0.7,Null
88.64,116,88.63505514942037,-0.556,0.7,0.7,Null
90.37,116,90.3735116111972,-0.498,0.7,0.7,Null
92.15,117,92.15168321864522,-0.486,0.7,0.7,Null
93.97,118,93.965161505562,-0.465,0.85,0.7,Null
95.81,112,95.80954146545768,-0.212,0.85,0.85,Null
97.68,114,97.68046014787161,-0.213,0.85,0.85,Null
99.57,114,99.57362771525965,-0.156,0.85,0.85,Null
101.48,115,101.48456362413751,-0.149,0.9,0.85,Null
103.41,117,103.4086852580468,-0.142,0.85,0.9,Null
105.34,119,105.34138119553522,-0.135,0.85,0.85,Null
107.28,121,107.27807189872416,-0.127,0.85,0.85,Null
109.21,121,109.21415623239268,-0.078,1.1,0.85,Null
111.15,122,111.14518328296622,-0.069,1.1,1.1,Null
113.07,122,113.0668821373324,-0.011,0.95,1.1,Null
114.98,123,114.97518600828428,-0.005,0.95,0.95,Null
116.87,123,116.86569538011123,0.052,0.95,0.95,Null
118.73,125,118.73382676960374,0.059,1.2,0.95,Null
120.58,126,120.57528173245132,0.07,0.95,1.2,Null
122.39,126,122.3860665978568,0.13,1.15,0.95,Null
124.16,127,124.16250683845739,0.138,1.1,1.15,Null
125.9,126,125.9006561485347,0.194,1.1,1.1,Null
127.6,126,127.59705972617874,0.249,1.1,1.1,Null
129.25,124,129.24823648031023,0.359,1.25,1.1,Null
130.85,127,130.8509043296856,0.34,1.05,1.25,row_2
132.4,126,132.4020299821069,0.378,1.05,1.05,Null
133.9,126,133.89886707136498,0.415,1.3,1.05,Null
135.34,126,135.33859554726965,0.452,1,1.3,Null
136.72,128,136.71896536595597,0.438,1.3,1,Null
138.04,127,138.03825611666682,0.487,1.05,1.3,Null
139.29,129,139.29456975822708,0.475,1.05,1.05,Null
140.49,128,140.48677800729362,0.513,1.3,1.05,Null
141.61,127,141.61360209759366,0.544,1.05,1.3,Null
142.67,129,142.67442406234508,0.529,1.05,1.05,Null
143.67,128,143.66920096057623,0.564,1.3,1.05,Null
144.6,128,144.59769192137978,0.599,1.1,1.3,Null
145.46,129,145.46027899679672,0.583,1.1,1.1,Null
146.26,129,146.2578688140324,0.615,1.1,1.1,Null
146.99,128,146.99109735958717,0.647,1.4,1.1,Null
147.66,127,147.6610208030582,0.678,1,1.4,Null
148.27,129,148.26905088201397,0.647,1.35,1,Null
148.82,126,148.81689626028177,0.726,0.9,1.35,Null
149.31,127,149.30564583699362,0.708,1.35,0.9,Null
149.74,127,149.73712741797843,0.732,0.95,1.35,Null
150.11,127,150.11272100313795,0.706,1.3,0.95,Null
150.43,127,150.43481641642637,0.721,1.1,1.3,Null
150.71,128,150.70523847969415,0.694,1.1,1.1,Null
150.93,127,150.9265800525212,0.723,1.1,1.1,Null
151.1,127,151.10096679534877,0.737,1.35,1.1,Null
151.23,126,151.23077041650774,0.766,0.9,1.35,Null
151.32,127,151.3185363224195,0.728,1.4,0.9,Null
151.37,125,151.366922228675,0.756,0.95,1.4,Null
151.38,127,151.37791444729206,0.724,1.3,0.95,Null
151.35,126,151.35432601780397,0.736,1.05,1.3,Null
151.3,127,151.29807544394097,0.714,1.05,1.05,Null
151.21,127,151.21174283507057,0.725,1.3,1.05,Null
151.1,125,151.09733447914203,0.735,1.05,1.3,Null
150.96,126,150.95715719843437,0.711,1.05,1.05,Null
150.79,125,150.7937084482811,0.738,1.05,1.05,Null
150.61,124,150.60885750171448,0.749,1.3,1.05,Null
150.4,123,150.40472895159388,0.766,0.95,1.3,Null
150.18,124,150.18360153117067,0.742,1.2,0.95,Null
149.95,125,149.9478264346023,0.701,1.05,1.2,Null
149.7,124,149.69903710891282,0.726,1.05,1.05,Null
149.44,123,149.4393394805889,0.737,1.05,1.05,Null
149.17,122,149.17041465972287,0.753,1.2,1.05,Null
148.89,123,148.89403951728553,0.728,0.95,1.2,Null
